date,SJC_GOLD_VND,EXRATE_VNDPUSD,GOLD_W_USD,CPI,IR,lGOLD_SJC,lEXRATE,lGOLD_W,lCPI,dlGOLD_SJC,dlEXRATE,dlGOLD_W,dlCPI,dIR,D_covid,D_sbv24
2020-01-01,44900000.0,23173.956521739132,1582.9000244140625,114.07640168346933,6.0,17.619948352712484,10.05078436338968,7.367013902115322,4.7368684141232,0.022523474667085708,7.069996163089343e-05,0.037756137327396466,0.0026417915730343466,0.0,0,0
2020-02-01,46800000.0,23239.5,1564.0999755859375,114.37816618407346,6.0,17.661393760887876,10.053608696104456,7.35506584207118,4.739510205696235,0.04144540817539166,0.0028243327147770003,-0.011948060044142395,0.002641791573035235,0.0,0,0
2020-03-01,45500000.0,23353.18181818182,1624.1499633789062,114.68072893753691,5.0,17.633222883921178,10.058488520116924,7.39273985844045,4.74215199726927,-0.028170876966697733,0.004879824012467893,0.03767401636927037,0.0026417915730343466,-1.0,1,0
2020-04-01,47100000.0,23474.18181818182,1684.199951171875,114.98409205546534,5.0,17.667783558986645,10.063656450143485,7.429045923604011,4.744793788842305,0.03456067506546745,0.005167930026560796,0.036306065163561385,0.002641791573035235,0.0,1,0
2020-05-01,48900000.0,23343.85714285714,1736.9000244140625,115.28825765505022,4.5,17.7052879544451,10.058089151092418,7.459857208116079,4.747435580415339,0.03750439545845552,-0.005567299051067565,0.03081128451206805,0.0026417915730343466,-0.5,1,0
2020-06-01,49800000.0,23220.5,1793.0,115.59322785908356,4.5,17.72352554199488,10.052790788181115,7.491645473605133,4.750077371988374,0.018237587549780443,-0.00529836291130259,0.03178826548905356,0.002641791573035235,0.0,1,0
2020-07-01,55000000.0,23183.91304347826,1962.800048828125,115.89900479597277,4.5,17.822843743196746,10.051213913840794,7.582127329092518,4.752719163561409,0.0993182012018643,-0.001576874340321055,0.09048185548738541,0.0026417915730343466,0.0,1,0
2020-08-01,62700000.0,23173.619047619046,1967.5999755859375,116.20559059975554,4.5,17.95387200560315,10.050769800637866,7.584569792513143,4.755360955134444,0.13102826240640297,-0.0004441132029278094,0.0024424634206248186,0.002641791573035235,0.0,1,0
2020-09-01,56900000.0,23177.886363636364,1887.5,116.51298741011465,4.5,17.85680589909656,10.05095392911402,7.54300848112318,4.758002746707478,-0.09706610650658831,0.00018412847615323358,-0.04156131138996333,0.0026417915730343466,0.0,1,0
2020-10-01,55700000.0,23181.68181818182,1877.4000244140625,116.82119737239297,4.0,17.835490704897513,10.051117668971951,7.537643132907079,4.760644538280514,-0.021315194199047482,0.0001637398579319438,-0.005365348216100685,0.002641791573035235,-0.5,1,0
2020-11-01,55000000.0,23169.04761904762,1885.25,117.13022263760841,4.0,17.822843743196746,10.050572512526712,7.541815717082756,4.763286329853548,-0.012646961700767179,-0.0005451564452396696,0.00417258417567723,0.0026417915730343466,0.0,1,0
2020-12-01,55900000.0,23122.130434782608,1893.0999755859375,117.44006536246893,4.0,17.83907493812533,10.048545465374213,7.545970963119523,4.765928121426583,0.016231194928582937,-0.0020270471524987954,0.004155246036766869,0.002641791573035235,0.0,1,0
2021-01-01,55100000.0,23067.0,1847.300048828125,117.61813050283054,4.0,17.824660274123143,10.04615830370029,7.521480418996749,4.767443194523845,-0.014414664002185162,-0.002387161673922833,-0.024490544122774516,0.0015150730972619542,0.0,1,0
